,book_id,elo,original_title
401,391729,2241.1336618540004,The Tell-Tale Heart
4228,36,2095.012511089997,The Lord of the Rings: Weapons and Warfare
3229,119,2087.9333518332755,The Lord of the Rings: The Art of The Fellowship of the Ring
993,32085,2062.91000307341,All Creatures Great And Small
1027,26247008,2056.4823178885213,Truly Madly Guilty
1166,6656,2045.1416816159888,La Divina Commedia
963,30,2035.8106795675296,The Hobbit and The Lord of the Rings
7909,31555,2034.4770885482485,Phantoms in the Brain: Probing the Mysteries of the Human Mind
839,402093,2032.212494050039,Sh?gun
7107,18815695,2031.9048554651224,
777,30597,2029.3854516787355,Notre-Dame de Paris
3310,690866,2025.5109545733978,The Hundred Secret Senses
465,659469,2024.3828063421925,The Hobbit
713,12938,2022.941486877438,The Tragedie of King Lear
559,2175,2015.8472533706565,Madame Bovary
5438,79257,2007.7496981294792,Don't Panic: The Official Hitchhikers Guide to the Galaxy Companion
352,12996,2006.0652268665428,"The Tragedy of Othello, The Moor of Venice"
8676,152662,2002.1533381832683,What's Eating Gilbert Grape
544,144974,1998.4737804422425,The Velveteen Rabbit
1002,61666,1997.3915555654667,Contact
3800,9436746,1996.9004204241198,10th Anniversary
256,13023,1994.6926136939692,
263,3876,1994.400182322292,The Sun Also Rises
3004,15791154,1994.1722805856148,The Hit
214,9969571,1992.8106793462998,
2260,21445,1989.8837130649192,The 5th Horseman
193,153747,1987.4527658435193,"Moby Dick; or, The Whale"
4677,21362,1986.0327766162188,Seize the Night
171,15823480,1985.220464222851,???? ????????
176,7144,1984.8049034691244,???????????? ? ?????????
94,5297,1984.3376652262289,The Picture of Dorian Gray
728,77566,1984.1337559427254,Hyperion
4123,16435,1983.8978255799263,Life Expectancy
1758,121127,1983.0391481034528,"Faith of the Fallen  (Sword of Truth, #6)"
96,17245,1982.7879980577172,Dracula
1762,33668,1982.7701656224529,"4th of July (Women's Murder Club, #4)"
750,8694,1980.8973808409085,"Life, the Universe and Everything"
108,24280,1980.7083052095118,Les Misérables
62,6185,1980.6354328195011,Wuthering Heights
158,2120932,1979.3660681170425,The Battle of the Labyrinth
142,18143977,1978.1205707067686,
115,24583,1978.047414197275,The Adventures of Tom Sawyer
140,18007564,1977.7790732313142,The Martian
42,10210,1973.9270548054387,Jane Eyre
28,18135,1970.4023360732663,An Excellent conceited Tragedie of Romeo and Juliet
12,5470,1970.1501041680176,Nineteen Eighty-Four
1331,360,1967.760006641333,Mostly Harmless
3699,42058,1961.5073445882456,The Tragedy of King Richard the Third
134,62291,1960.6129211055022,A Storm of Swords
1013,8698,1959.7597200075988,"So Long, and Thanks for All the Fish"
8728,185289,1958.1192537512034,Dragon Prince
598,8695,1957.630068193771,The Restaurant at the End of the Universe
1702,17799,1955.7585125431565," ????????? [Kokky? no minami, taiy? no nishi]"
329,228665,1951.2350023115969,The Eye of the World
1818,1282954,1939.1728311884872,The Last Anniversary
4467,4835,1938.3915062608612,Haroun and the Sea of Stories
718,76334,1932.7471935565582,A New Earth: Awakening to Your Life's Purpose
3272,5347,1919.3902249809719,Bleachers
1606,32506,1914.3485197324692,The Poet
9359,71823,1909.179091246166,"The Green Mile, Part 6: Coffey on the Mile"
2572,5357,1908.136786861532,Skipping Christmas
3634,92143,1907.8375478904318,Bone: The Complete Cartoon Epic in One Volume
1462,44687,1907.8262367514967,Enchanters' End Game
437,6469165,1907.5280182821211,What Alice Forgot
311,2213661,1906.8078005129948,The Graveyard Book
1904,13569581,1901.6545653369037,Blood Song
252,16160797,1897.2527222239612,The Cuckoo's Calling
8370,228199,1895.6573630275084,"The Green Mile, Part 4: The Bad Death of Eduard Delacroix"
6062,43037,1895.516905230757,"The Call of the Wild, White Fang and Other Stories "
2159,12499290,1892.6141406509657,The Blinding Knife
261,19486412,1892.2802035447767,Big Little Lies
1197,22822858,1892.2354422785427,A Little Life
225,5886881,1889.008379000751,Dark Places
216,21996,1887.272765177767,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America"
3324,7557548,1877.1356280272632,
9965,9864,1874.6398075041288,The Ground Beneath Her Feet
9293,18232495,1864.3314255086102,The Auschwitz Escape
3526,7039218,1858.5815530500458,"Once Burned (Night Prince, #1)"
4847,368916,1856.6032661518277,"84, Charing Cross Road"
488,2547,1853.9567154449978,The Prophet
5051,42692,1850.3115500266842,Mila 18
6983,6617185,1844.2656958333657,"Soccernomics: Why England Loses, Why Germany and Brazil Win, and Why the U.S., Japan, Australia, Turkey--and Even Iraq--Are Destined to Become the Kings of the World's Most Popular Sport"
4002,387749,1843.9213785765096,Ben-Hur: A Tale of the Christ
6181,787660,1843.748431874921,Heaven
5579,24494,1843.6729207200847,The Calvin and Hobbes Lazy Sunday Book
3898,76664,1842.195280548006,A Spell for Chameleon
8285,101255,1832.709522278347,On Food and Cooking: The Science and Lore of the Kitchen
466,297673,1832.6763049677181,The Brief Wondrous Life of Oscar Wao
1229,902715,1831.2049728514735,Before They Are Hanged
4861,30122,1830.9768991884644,The Missing Piece
3569,4820,1829.698160573609,"Mayflower: A Story of Courage, Community, and War"
895,80660,1829.27846740692,We Need to Talk About Kevin
2088,11768,1827.5782917614492,The Hotel New Hampshire
278,29056083,1826.6991722431274,"Harry Potter and the Cursed Child, Parts One and Two"
6011,7146335,1826.1160649051271,Skippy Dies
5088,764903,1825.1320369513426,Cheaper by the Dozen
2235,280111,1823.7916492301592,Holy Bible: New International Version
3793,16255,1822.242172607427,Tales of the City
